文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
[通用附魔] UniversalEnchants-v26.1.0-mc26.1.x-Fabric.jar,通用附魔 (Universal Enchants),26.1.0,2026/04/28 下午 3:46:00,universalenchants,DT56YDir,150316,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[通用附魔] UniversalEnchants-v26.1.0-mc26.1.x-Fabric.jar
[树叶渲染优化] cullleaves-fabric-4.1.2+26.1.jar,树叶渲染优化 (Cull Leaves),4.1.2,2026/03/29 上午 1:36:24,cullleaves,GNxdLCoP,92488,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[树叶渲染优化] cullleaves-fabric-4.1.2+26.1.jar
[鼠标手势] MouseTweaks-fabric-mc26.1-2.31.jar,鼠标手势 (Mouse Tweaks),2.31,2026/03/29 下午 9:39:14,mousetweaks,aC3cM3Vq,75833,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[鼠标手势] MouseTweaks-fabric-mc26.1-2.31.jar
[输入法冲突修复] IMBlocker-7.1.5-fabric-26.1+.jar,输入法冲突修复 (IMBlocker),7.1.5,2026/05/30 下午 1:28:16,imblocker,WMDesFsZ,154396,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[输入法冲突修复] IMBlocker-7.1.5-fabric-26.1+.jar
[拾取提示] PickUpNotifier-v26.1.1-mc26.1.x-Fabric.jar,拾取提示 (Pick Up Notifier),26.1.1,2026/04/28 下午 6:27:11,pickupnotifier,ZX66K16c,76693,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[拾取提示] PickUpNotifier-v26.1.1-mc26.1.x-Fabric.jar
[实体渲染机制优化] entityculling-fabric-1.10.2-mc26.1.jar,实体渲染机制优化 (Entity Culling),1.10.2,2026/05/08 上午 1:02:21,entityculling,NNAgCjsB,1582129,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[实体渲染机制优化] entityculling-fabric-1.10.2-mc26.1.jar
[实体纹理特性] entity_texture_features_26.1-fabric-7.1.jar,实体纹理特性 (Entity Texture Features),,2026/04/15 下午 9:07:14,,BVzZfTc1,740706,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[实体纹理特性] entity_texture_features_26.1-fabric-7.1.jar
[实体模型特性] entity_model_features-3.2.4-26.1-fabric.jar,实体模型特性 (Entity Model Features),,2026/05/09 下午 11:21:51,,4I1XuqiY,577617,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[实体模型特性] entity_model_features-3.2.4-26.1-fabric.jar
[潜影盒提示框] shulkerboxtooltip-fabric-5.2.18+26.1.jar,潜影盒提示框 (Shulker Box Tooltip),5.2.18+26.1,2026/03/31 上午 6:02:58,shulkerboxtooltip,2M01OLQq,388301,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[潜影盒提示框] shulkerboxtooltip-fabric-5.2.18+26.1.jar
[配置界面] configured-fabric-26.1.2-2.7.5.jar,,2.7.5,,configured,,410915,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[配置界面] configured-fabric-26.1.2-2.7.5.jar
[农夫乐事：重织] FarmersDelight-26.1-3.6.5+refabricated.jar,农夫乐事：重织 (Farmer's Delight Refabricated),26.1-3.6.5+refabricated,2026/05/16 下午 1:11:32,farmersdelight,7vxePowz,3307395,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[农夫乐事：重织] FarmersDelight-26.1-3.6.5+refabricated.jar
[钠] sodium-fabric-0.8.12+mc26.1.2.jar,钠 (Sodium),0.8.12+mc26.1.2,2026/05/19 上午 6:12:28,sodium,AANobbMI,1844226,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[钠] sodium-fabric-0.8.12+mc26.1.2.jar
[钠 · 土径阴影] sodium-shadowy-path-blocks-fabric-7.0.0.jar,钠 · 土径阴影 (Sodium Shadowy Path Blocks),7.0.0,2026/04/01 上午 10:14:35,sspb,EIa1eiMm,67690,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[钠 · 土径阴影] sodium-shadowy-path-blocks-fabric-7.0.0.jar
[钠 · 扩展] sodium-extra-fabric-0.8.7+mc26.1.1.jar,钠 · 扩展 (Sodium Extra),0.8.7+mc26.1.1,2026/04/10 上午 10:41:38,sodium-extra,PtjYWJkn,401602,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[钠 · 扩展] sodium-extra-fabric-0.8.7+mc26.1.1.jar
[聊天动画] chatanimation-fabric-26.1-1.1.3.jar,聊天动画 (ChatAnimation),1.1.3,2026/04/03 下午 6:21:39,chatanimation,DnNYdJsx,381984,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[聊天动画] chatanimation-fabric-26.1-1.1.3.jar
[聊动魅影] ChatImpressiveAnimation-fabric-1.6.0+mc26.1.x.jar,聊动魅影 (Chat Impressive Animation),1.6.0+mc26.1.2,2026/04/19 下午 4:41:15,chatimpressiveanimation,DnL1AGAI,63411,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\[聊动魅影] ChatImpressiveAnimation-fabric-1.6.0+mc26.1.x.jar
